"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2015","15.239","15.400","15.450","15.200","35.44K","-1.10%"
"11/02/2015","15.408","15.535","15.550","15.250","40.80K","-1.02%"
"10/30/2015","15.567","15.600","15.655","15.475","40.00K","0.11%"
"10/29/2015","15.550","15.935","16.010","15.535","62.48K","-4.56%"
"10/28/2015","16.293","15.860","16.370","15.720","72.13K","2.71%"
"10/27/2015","15.863","15.840","15.950","15.780","27.45K","-0.26%"
"10/26/2015","15.905","15.845","15.980","15.770","24.97K","0.49%"
"10/23/2015","15.827","15.815","16.100","15.705","48.55K","-0.06%"
"10/22/2015","15.837","15.680","15.910","15.640","33.50K","0.81%"
"10/21/2015","15.710","15.900","15.940","15.610","40.33K","-1.30%"
"10/20/2015","15.917","15.830","15.965","15.740","38.77K","0.48%"
"10/19/2015","15.841","16.015","16.040","15.735","35.46K","-1.69%"
"10/16/2015","16.114","16.120","16.165","15.935","32.34K","-0.31%"
"10/15/2015","16.164","16.130","16.195","15.900","47.36K","0.29%"
"10/14/2015","16.117","15.910","16.195","15.790","60.33K","1.32%"
"10/13/2015","15.907","15.815","15.985","15.615","40.67K","0.27%"
"10/12/2015","15.864","15.795","16.075","15.765","36.44K","0.29%"
"10/09/2015","15.818","15.680","16.010","15.585","41.67K","0.33%"
"10/08/2015","15.766","16.055","16.080","15.375","59.34K","-2.04%"
"10/07/2015","16.094","15.890","16.115","15.820","44.10K","0.69%"
"10/06/2015","15.984","15.620","16.090","15.570","60.22K","1.76%"
"10/05/2015","15.708","15.250","15.730","15.100","61.89K","2.92%"
"10/02/2015","15.263","14.490","15.300","14.360","70.56K","5.18%"
"10/01/2015","14.511","14.500","14.670","14.430","28.15K","-0.05%"
"09/30/2015","14.518","14.605","14.725","14.435","37.06K","-0.38%"
"09/29/2015","14.573","14.585","14.700","14.455","33.13K","0.24%"
"09/28/2015","14.538","15.070","15.110","14.470","57.21K","-3.79%"
"09/25/2015","15.111","15.070","15.185","14.945","29.90K","-0.13%"
"09/24/2015","15.130","14.765","15.180","14.745","45.68K","2.31%"
"09/23/2015","14.789","14.765","14.910","14.685","26.77K","0.22%"
"09/22/2015","14.756","15.180","15.220","14.695","45.91K","-3.05%"
"09/21/2015","15.221","15.165","15.245","15.080","22.25K","0.38%"
"09/18/2015","15.163","15.120","15.435","15.015","46.42K","1.19%"
"09/17/2015","14.984","14.925","15.275","14.770","42.38K","0.67%"
"09/16/2015","14.885","14.370","14.965","14.310","51.34K","3.90%"
